,AGE07,EDCL07,MARRIED07,KIDS07,OCCAT107,INCOME07,RISK07,WSAVED07,SPENDMOR07,HHOUSES07,NETWORTH07,Risky2007,Risky2009,Safe2007,Safe2009,RiskTol2007,RiskTol2009,RiskTolChange
12469,35,4,1,2,1,133122.03816,2,3,5,1,297734.32397,8284.7811888,8000,7766.9823645,85000,0.5161290322580645,0.08602150537634409,-0.4301075268817204
12475,37,4,1,1,1,136316.96708,2,3,5,1,556012.37753,132556.499021,15000,16466.00261262,51130,0.8895066018076748,0.22682594888855284,-0.662680652919122
12476,37,4,1,1,1,136316.96708,2,3,5,1,847118.87655,423559.438279,15000,16466.00261262,51160,0.962579430454623,0.2267230955259976,-0.7358563349286255
12477,37,4,1,1,1,135251.99077,2,3,5,1,582937.91639,159482.037884,15000,16466.00261262,51380,0.9064155385524948,0.2259716782163302,-0.6804438603361646
12478,37,4,1,1,1,135251.99077,2,3,5,1,685462.08361,262006.205099,15000,16466.00261262,51170,0.9408702119757967,0.2266888317968868,-0.7141813801789099
12479,37,4,1,1,1,136316.96708,2,3,5,1,640931.38472,217475.50620899998,15000,16466.00261262,51470,0.9296148738393608,0.22566571385587483,-0.703949159983486
12480,39,3,2,0,2,186370.85343,1,3,5,1,2476113.9778,31067.929458,25000,88025.800131,12000,0.2608695652173913,0.6756756756756757,0.41480611045828436
12481,39,3,2,0,2,186370.85343,1,3,5,1,2476113.9778,31067.929458,25000,88025.800131,12000,0.2608695652173913,0.6756756756756757,0.41480611045828436
12482,39,3,2,0,2,187435.82973,1,3,5,1,2476113.9778,31067.929458,25000,88025.800131,12000,0.2608695652173913,0.6756756756756757,0.41480611045828436
12483,39,3,2,0,2,186370.85343,1,3,5,1,2476113.9778,31067.929458,25000,88025.800131,12000,0.2608695652173913,0.6756756756756757,0.41480611045828436
12484,39,3,2,0,2,186370.85343,1,3,5,1,2476113.9778,31067.929458,25000,88025.800131,12000,0.2608695652173913,0.6756756756756757,0.41480611045828436
12495,59,4,1,0,2,266244.07632,3,3,5,1,1018924.5265,20711.952972,50000,75702.188113,102000,0.2148227712129911,0.32894736842105265,0.11412459720806156
12496,59,4,1,0,2,266244.07632,3,3,5,1,1018924.5265,20711.952972,50000,75702.188113,102000,0.2148227712129911,0.32894736842105265,0.11412459720806156
12497,59,4,1,0,2,266244.07632,3,3,5,1,1018924.5265,20711.952972,50000,75702.188113,102000,0.2148227712129911,0.32894736842105265,0.11412459720806156
12498,59,4,1,0,2,266244.07632,3,3,5,1,1018820.9667,20711.952972,50000,75598.628348,102000,0.21505376344041363,0.32894736842105265,0.11389360498063902
12499,59,4,1,0,2,266244.07632,3,3,5,1,1018924.5265,20711.952972,50000,75702.188113,102000,0.2148227712129911,0.32894736842105265,0.11412459720806156
12500,46,3,2,0,1,94782.891171,3,3,4,1,672486.04507,31378.6087524,22800,44789.59830235,31000,0.41196464989447545,0.42379182156133827,0.011827171666862812
12501,46,3,2,0,1,93717.914866,3,3,4,1,671036.20836,30964.3696929,22800,45825.19595035,31100,0.40323668239972454,0.4230055658627087,0.019768883462984166
12502,46,3,2,0,1,94782.891171,3,3,4,1,674246.56107,32103.5271064,22800,45825.19595035,31100,0.41196013288991357,0.4230055658627087,0.011045432972795144
12503,46,3,2,0,1,94782.891171,3,3,4,1,671968.24624,31792.8478122,22800,44893.15806725,31100,0.4145847400395085,0.4230055658627087,0.008420825823200195
12504,46,3,2,0,1,94782.891171,3,3,4,1,674039.44154,30860.8099281,22800,45825.19595035,31000,0.4024307900063991,0.42379182156133827,0.02136103155493918
12570,62,3,1,1,3,41534.075906,3,3,4,1,441682.39713,25889.941215,0,157928.64141,79740,0.14084507042368452,0.0,-0.14084507042368452
12571,62,3,1,1,3,43664.028517,3,3,4,1,441578.83736,25889.941215,0,157928.64141,82000,0.14084507042368452,0.0,-0.14084507042368452
12572,62,3,1,1,3,39404.123296,3,3,4,1,441682.39713,25889.941215,0,157928.64141,81600,0.14084507042368452,0.0,-0.14084507042368452
12573,62,3,1,1,3,40469.099601,3,3,4,1,441682.39713,25889.941215,0,157928.64141,79770,0.14084507042368452,0.0,-0.14084507042368452
12574,62,3,1,1,3,43664.028517,3,3,4,1,441682.39713,25889.941215,0,157928.64141,79940,0.14084507042368452,0.0,-0.14084507042368452
12575,62,2,2,1,3,28754.360243,3,3,4,1,72698.954931,2174.7550621,0,11391.5741346,1150,0.1603053435139262,0.0,-0.1603053435139262
12576,62,2,2,1,3,30884.312854,3,3,4,1,85851.045069,4763.7491835,0,21851.110385,1150,0.17898832684949173,0.0,-0.17898832684949173
